position,strain,condition,M2exit,M3entry,M3exit,phenotype,valid,phen descrip,well
48,qua-1,ethanol,2,45,59,0,1,,
49,qua-1,ethanol,10,54,70,0,1,,
50,qua-1,ethanol,6,47,59,0,1,,
51,qua-1,ethanol,3,48,62,0,1,,
52,qua-1,ethanol,8,50,65,0,1,,
53,qua-1,ethanol,5,47,60,0,1,,
54,qua-1,ethanol,28,78,95,0,1,,
55,qua-1,ethanol,0,0,0,0,0,M2 exit before or at t1,
56,qua-1,ethanol,10,55,72,0,1,,
57,qua-1,ethanol,6,47,60,0,1,,
58,qua-1,ethanol,0,0,0,0,0,sick,
59,grh-1,auxin,19,0,0,0,1,long L3,
60,grh-1,auxin,18,0,0,0,1,long L3,
61,grh-1,auxin,27,0,0,0,1,long L3,
62,grh-1,auxin,0,0,0,0,0,L2 phenotype,
63,grh-1,auxin,14,68,0,90,1,L3 phenotype,
64,grh-1,auxin,0,0,0,0,0,,
65,grh-1,auxin,13,59,0,96,1,L3 phenotype,
66,grh-1,auxin,0,0,0,0,0,L2 phenotype,
67,grh-1,auxin,0,0,0,0,0,L2 phenotype,
68,grh-1,auxin,0,0,0,0,0,L2 phenotype,
69,grh-1,auxin,14,60,0,84,1,L3 phenotype,
70,grh-1,auxin,20,0,0,0,1,long L3,
71,grh-1,auxin,0,0,0,0,0,L2 phenotype,
72,grh-1,auxin,0,0,0,0,0,L2 phenotype,
73,grh-1,auxin,16,69,0,93,1,L3 phenotype,
74,grh-1,auxin,24,88,0,0,1,long L3,
75,grh-1,auxin,0,0,0,0,0,L2 phenotype,
76,grh-1,auxin,0,0,0,0,0,L2 phenotype,
77,grh-1,auxin,15,75,0,0,1,long L3,
78,grh-1,auxin,16,74,0,0,1,long L3,
79,grh-1,auxin,11,58,0,77,1,L3 phenotype,
80,grh-1,auxin,0,0,0,0,0,,
81,grh-1,auxin,20,77,0,0,1,long L3,
82,grh-1,auxin,0,0,0,0,0,L2 phenotype,
83,grh-1,auxin,20,75,0,97,1,L3 phenotype,
84,grh-1,auxin,0,0,0,0,0,L2 phenotype,
85,grh-1,auxin,25,91,0,0,1,long L3,
86,grh-1,auxin,17,72,0,98,1,L3 phenotype,
87,grh-1,auxin,10,56,0,74,1,L3 phenotype,
88,qua-1,auxin,0,0,0,0,0,L2 phenotype,
89,qua-1,auxin,8,52,0,77,1,L3 phenotype,
90,qua-1,auxin,6,49,0,73,1,L3 phenotype,
91,qua-1,auxin,3,47,0,69,1,L3 phenotype,
92,qua-1,auxin,7,52,0,74,1,L3 phenotype,
93,qua-1,auxin,0,0,0,0,0,L2 phenotype,
94,qua-1,auxin,0,0,0,0,0,L2 phenotype,
95,qua-1,auxin,8,53,0,75,1,L3 phenotype,
96,qua-1,auxin,7,52,0,74,1,L3 phenotype,
97,qua-1,auxin,8,52,0,74,1,L3 phenotype,
98,qua-1,auxin,38,0,0,0,1,long L3,
99,qua-1,auxin,10,63,0,96,1,L3 phenotype,
100,qua-1,auxin,13,61,0,85,1,L3 phenotype,
101,qua-1,auxin,9,55,0,76,1,L3 phenotype,
102,qua-1,auxin,7,50,0,76,1,L3 phenotype,
103,qua-1,auxin,5,49,0,96,1,L3 phenotype,
104,qua-1,auxin,9,55,0,77,1,L3 phenotype,
105,qua-1,auxin,8,51,0,69,1,L3 phenotype,
106,qua-1,auxin,9,54,0,76,1,L3 phenotype,
107,qua-1,auxin,5,53,0,74,1,L3 phenotype,
108,qua-1,auxin,21,64,0,0,1,long L3,
109,qua-1,auxin,12,57,0,83,1,L3 phenotype,
110,qua-1,auxin,9,59,0,89,1,L3 phenotype,
111,qua-1,auxin,16,68,0,94,1,L3 phenotype,
112,qua-1,auxin,11,63,0,83,1,L3 phenotype,
113,qua-1,auxin,14,67,0,94,1,L3 phenotype,
114,qua-1,auxin,9,55,0,74,1,L3 phenotype,
115,qua-1,auxin,0,0,0,0,0,L2 phenotype,
116,qua-1,auxin,12,59,0,80,1,L3 phenotype,
