width	sample4p	sample4m	sample5p	sample5m	sample6p	sample6m	sample7p	sample7m	sample8p	sample8m	sample9p	sample9m	sample10p	sample10m	sample11p	sample11m	sample12p	sample12m	sample13p	sample13m	sample14p	sample14m	sample15p	sample15m
WBGene00167410	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167475	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167808	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00167927	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168146	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00168177	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168295	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168839	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168874	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169384	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045644	21	0	0	0	1	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
WBGene00169502	21	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00170013	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170034	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170308	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WBGene00170720	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00170813	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00170852	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00170969	21	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171119	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171248	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045876	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171384	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171386	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0
WBGene00171487	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171549	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00171555	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WBGene00171565	21	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00171680	21	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
WBGene00171760	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00171933	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172176	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045960	21	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
WBGene00172181	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172200	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172403	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172593	21	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	1	1	0	0	0	1	2	1	1
WBGene00172652	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00172871	21	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0
WBGene00172942	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173293	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00173357	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173598	21	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
WBGene00046424	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173664	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173783	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173918	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00173942	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174181	21	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00174289	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174401	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174508	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174541	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174554	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
WBGene00046478	21	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
WBGene00174636	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00174797	21	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0
WBGene00174865	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WBGene00174933	21	0	1	1	0	1	0	2	0	1	2	1	0	2	4	1	0	0	0	2	2	0	1	1	0
WBGene00046547	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WBGene00043988	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00043989	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00043990	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00043991	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007075	1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007076	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007079	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00003352	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00007082	1760	2	3	4	3	0	0	2	5	4	2	6	7	2	5	0	5	0	3	3	1	1	5	1	1
WBGene00007083	738	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	0	0	0	1	1	0	0	0	0
WBGene00007084	563	80	77	60	65	81	43	83	75	105	98	87	95	80	88	118	103	152	165	128	126	118	109	129	143
WBGene00007085	360	12	18	22	19	20	8	12	12	18	18	23	17	26	24	30	19	21	24	22	14	20	21	27	11
WBGene00169517	21	1	2	2	4	2	0	1	0	2	0	0	2	2	2	0	2	3	5	0	3	1	2	0	1
WBGene00197015	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00197630	91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
WBGene00201406	50	0	1	1	0	0	0	0	0	1	0	0	3	1	0	1	0	0	3	0	0	0	0	0	0
WBGene00001528	3414	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0
WBGene00005032	1194	7	7	2	7	10	6	10	11	8	9	13	12	5	10	15	6	13	13	11	14	9	9	6	12
WBGene00005033	990	2	0	4	2	1	2	0	0	2	0	4	1	1	3	1	2	1	3	1	4	0	2	2	1
WBGene00005034	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00005035	1193	1	0	2	0	1	2	0	1	0	2	1	1	1	1	0	1	3	1	3	0	0	0	3	1
WBGene00007080	1064	1	1	0	1	1	3	1	1	3	1	3	3	5	0	4	4	1	1	1	2	6	3	2	2
WBGene00007081	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005027	1091	2	0	1	0	1	0	0	0	2	0	1	0	2	1	4	0	1	0	0	1	0	2	0	2
WBGene00003231	1904	94	127	98	109	147	85	135	129	163	140	140	155	181	159	203	210	164	261	166	170	192	162	183	137
WBGene00005028	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005029	1040	0	0	1	0	2	0	1	3	0	0	2	1	3	1	8	2	5	7	2	2	0	0	8	2
WBGene00005030	1049	6	1	3	3	0	0	3	3	2	0	6	5	2	2	2	2	4	5	3	3	2	2	1	0
WBGene00014998	1604	65	70	82	98	82	44	85	70	76	82	55	47	57	58	61	69	44	69	55	67	67	51	64	48
WBGene00000797	1146	48	36	51	44	68	29	76	46	113	66	147	88	242	195	297	296	388	659	344	494	474	366	435	251
WBGene00014999	959	259	213	256	264	227	147	290	253	276	263	305	294	298	308	362	367	354	490	280	379	375	338	332	282
WBGene00015000	1364	28	32	41	31	39	29	38	43	36	37	44	30	33	19	27	43	24	40	35	38	35	37	29	16
WBGene00003342	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00044701	999	281	237	298	327	301	156	311	265	326	250	320	243	327	289	325	269	244	358	228	244	249	233	207	196
WBGene00175029	833	46	30	52	49	32	24	36	45	48	35	44	43	51	39	61	62	59	78	39	59	55	71	52	57
WBGene00003010	995	1208	1046	996	980	981	534	967	925	1037	862	1053	962	1069	1169	1268	1554	1389	2105	1697	1960	1608	1573	1714	1347
WBGene00196931	297	4	4	4	2	3	1	1	1	5	1	1	1	1	4	4	2	1	4	7	1	6	1	7	5
WBGene00197796	149	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00200968	150	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	1
WBGene00007087	2921	1044	937	1065	1153	1134	649	1150	1127	1319	1239	1301	1215	1421	1444	1559	1572	1550	2044	1359	1288	1396	1397	1585	1310
WBGene00007088	1969	1729	1657	1850	1795	1855	1010	1769	1741	1909	1647	1883	1622	1918	1868	2069	2040	1903	2585	1783	1845	1745	1842	1741	1625
WBGene00007089	1134	1464	1285	1441	1347	1408	784	1378	1322	1353	1249	1377	1370	1356	1409	1570	1512	1326	1829	1380	1556	1306	1457	1405	1376
WBGene00007090	1860	1067	1066	1110	1163	1251	658	1082	1056	1130	1070	1213	1112	1326	1239	1378	1321	1365	1756	1218	1202	1304	1228	1248	1120
WBGene00007091	2345	5104	4799	5165	5191	5015	2725	5179	4515	5238	4453	5225	4383	5344	4421	5560	4962	5454	6979	4498	4640	5244	4507	5510	4121
WBGene00007092	3006	566	497	534	579	645	346	567	494	736	595	702	599	825	735	824	834	798	1055	721	667	810	745	810	734
WBGene00007093	1661	789	657	773	825	701	418	840	713	837	745	816	733	875	885	1033	955	937	1185	815	827	866	810	946	759
WBGene00168499	21	2	1	0	1	2	0	2	1	5	0	1	0	2	2	5	2	0	1	4	2	1	0	1	1
WBGene00000138	2357	688	608	555	568	489	265	457	578	688	818	1053	1510	1546	2196	2157	3011	2687	3748	2991	3004	2813	2777	2594	2153
WBGene00007094	2347	1027	844	897	905	948	516	882	982	1045	959	989	883	1063	1053	1091	1139	1104	1393	954	987	1025	986	1087	968
WBGene00000722	1048	1574	1328	715	676	365	170	196	237	204	196	240	99	276	94	283	74	274	395	120	121	348	191	286	745
WBGene00007100	1837	1736	1576	1694	1695	1756	889	1900	1665	1933	1594	1840	1446	2026	1560	1844	1547	1737	2243	1341	1464	1459	1347	1448	1199
WBGene00007101	1818	3009	2737	3137	2985	3108	1613	3236	2954	3291	2902	3073	2760	3215	2974	3265	3217	3173	3803	2742	2866	2646	2728	2537	2536
WBGene00001646	653	669	648	642	622	654	339	710	628	700	500	658	563	676	558	632	512	579	720	396	391	449	377	474	313
WBGene00007102	1032	308	343	334	330	268	193	354	339	320	295	346	349	361	381	346	376	342	443	349	366	389	397	311	319
WBGene00007103	3338	3868	3114	3264	2727	2718	1118	2310	1638	2212	1441	1894	1594	1913	2167	2188	3159	2273	3259	3255	3057	2701	3232	2862	2717
WBGene00007104	1388	78	57	74	59	76	43	80	83	65	61	74	52	56	85	109	85	56	94	63	97	79	90	80	89
WBGene00169949	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WBGene00197715	144	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00198491	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000723	1025	5	4	10	6	5	2	14	18	50	53	78	79	163	152	202	217	238	409	225	336	342	278	323	228
WBGene00007096	875	57	64	76	69	73	35	87	100	76	68	89	83	71	100	83	81	49	102	63	71	75	99	62	50
WBGene00007097	1350	16	2	16	7	9	2	6	2	7	14	28	56	27	178	114	300	180	459	420	527	343	436	341	323
WBGene00001533	3432	14	17	9	13	24	3	21	21	25	23	17	25	29	21	28	38	23	49	20	17	24	26	29	28
WBGene00000491	3939	468	405	489	475	519	288	545	534	570	558	616	499	652	484	642	501	569	619	406	317	465	330	416	312
WBGene00007099	1034	2061	1737	1839	1912	1911	1054	1914	1953	2093	1810	2032	1968	2190	2107	2289	2256	2076	2945	1984	2230	2043	1987	2058	1942
WBGene00006932	3001	4034	3640	4041	4173	4083	2185	4545	4065	4843	4092	5009	4263	5409	4540	5644	5179	5420	6993	4428	4705	5029	4307	5239	3797
WBGene00000814	1640	3011	2797	2969	3038	3114	1621	3400	3037	3263	2922	3480	2810	3483	3233	3741	3539	3283	4747	3101	3239	3164	3116	3451	2959
WBGene00015001	588	326	293	297	330	292	188	347	306	356	291	319	302	341	306	356	370	348	520	372	333	368	355	343	315
WBGene00194700	323	0	2	0	1	1	2	1	1	1	2	3	5	1	2	4	1	1	4	2	0	1	5	6	2
WBGene00200669	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00015002	971	23	17	32	34	35	19	38	32	49	39	44	157	62	454	107	973	170	496	1260	1338	555	1056	672	723
WBGene00197686	100	5	5	1	3	5	1	5	4	1	4	4	3	6	6	3	2	6	9	3	1	3	4	6	3
WBGene00197958	169	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00199321	140	6	8	4	7	6	1	5	2	3	9	7	5	7	6	12	8	6	5	4	9	5	5	4	5
WBGene00199621	96	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
WBGene00200211	149	0	0	2	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0
WBGene00200579	134	2	0	1	0	0	0	1	0	0	0	1	3	0	1	0	2	2	1	0	0	0	0	1	0
WBGene00200808	276	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00202395	134	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00015003	120	0	1	0	0	1	1	0	0	2	4	1	0	2	0	0	1	0	0	1	0	0	1	1	1
WBGene00000403	3537	7669	6954	7140	7405	7231	3834	6652	6217	6977	6576	7468	7151	7250	6948	7587	8019	7642	9908	7318	7300	8056	6952	9061	6632
WBGene00015004	692	2	4	3	0	2	1	5	0	1	5	8	9	7	17	9	24	6	14	25	28	12	13	17	22
WBGene00015005	1106	37	36	33	39	42	30	61	41	46	46	63	62	43	45	49	44	40	56	45	39	45	45	44	41
WBGene00003355	19	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00044394	277	224	98	186	96	177	65	170	105	170	81	167	64	178	57	136	52	116	174	52	40	101	47	100	51
WBGene00196414	202	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0
WBGene00197204	169	12	13	10	6	4	5	9	10	10	4	12	7	1	2	7	8	6	12	5	10	8	9	8	1
WBGene00001919	787	7	1	1	0	3	0	2	0	6	2	1	2	3	2	4	6	0	0	3	4	4	3	1	1
WBGene00007110	1447	2582	2286	2482	2482	2493	1337	2607	2277	2631	2318	2612	2157	2691	2275	2561	2302	2396	3075	1938	2030	2035	1878	1923	1808
WBGene00007111	2882	4560	3873	4267	4231	4268	2225	4382	3892	4542	3696	4232	3722	4395	4109	4483	4297	4315	5469	3447	3664	3669	3559	3754	3341
WBGene00007112	1021	2726	2645	2401	2501	2351	1303	2047	2224	1825	1818	1597	1857	1582	1587	1404	1532	973	1232	1187	1376	864	1030	790	1128
WBGene00001019	1695	2503	2426	2710	2526	2668	1398	2705	2264	2819	2145	2642	2174	2789	2516	2941	2509	2597	3557	2303	2746	2401	2729	2444	2430
WBGene00007113	1121	1686	1551	1629	1554	1568	863	1770	1580	1745	1424	1600	1426	1463	1490	1360	1552	1225	1457	1295	1265	980	1346	858	1180
WBGene00007114	1137	227	186	225	256	210	114	232	201	261	231	240	189	261	262	251	236	232	313	237	226	247	250	243	215
WBGene00003287	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00044290	273	58	34	49	47	50	29	54	48	61	68	60	56	56	67	64	105	88	106	59	66	90	75	102	45
WBGene00196590	144	0	0	0	0	0	0	0	0	2	1	0	2	1	1	0	2	0	4	0	0	2	1	1	1
WBGene00007105	1295	2818	2666	2923	2971	2992	1469	2935	2573	2917	2696	2943	2906	3058	2699	3017	2914	2651	3532	2506	2397	2256	2201	2173	2128
WBGene00001020	1261	1970	1797	1913	1880	1897	1019	1911	1623	1782	1490	1658	1378	1613	1342	1521	1120	1225	1630	931	926	978	815	1012	766
WBGene00007106	833	543	518	590	531	579	333	655	543	569	565	598	566	642	585	728	607	564	799	547	652	571	627	643	484
WBGene00007107	550	2195	2067	2087	1968	1767	1116	2096	2155	2016	1816	1912	1791	1963	1850	1864	1964	1650	2068	1573	1685	1329	1438	1164	1484
WBGene00007108	1746	5327	5049	5233	5343	5329	2921	5542	5137	5283	4862	5118	4739	4962	5233	4703	5172	3904	5177	4466	4434	3215	4826	3274	4338
WBGene00007109	2486	1293	1258	1215	1314	1343	731	1426	1298	1416	1494	1598	1688	1799	1938	2032	2178	2054	2747	1825	1782	1956	1776	1920	1682
WBGene00001921	586	5	3	4	6	3	0	1	1	9	2	2	1	0	0	2	0	1	2	2	1	1	1	5	2
WBGene00001922	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001920	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00015006	665	0	1	0	2	1	1	0	0	1	1	0	1	0	4	0	0	2	0	0	1	0	1	0	3
WBGene00198277	193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
WBGene00015007	3139	6156	6290	6244	6804	6377	3798	6567	6457	6585	6166	7127	6666	7258	6830	7662	6874	6615	9253	5885	6186	6660	5764	6738	5251
WBGene00015008	721	151	144	173	147	155	116	166	186	222	187	196	185	216	165	205	155	185	235	142	183	144	151	160	122
WBGene00004415	1147	142796	153770	147590	167732	167868	77740	146732	128070	141781	142104	154523	151361	153947	137347	149983	152831	140168	193970	144835	151744	149202	128426	145881	127341
WBGene00015009	1529	1463	1229	1416	1401	1481	811	1639	1532	1740	1452	1694	1448	1848	1614	1721	1643	1478	2105	1545	1767	1433	1559	1355	1398
WBGene00015010	466	198	163	164	185	179	126	185	257	255	225	244	270	293	256	285	287	266	347	244	317	268	280	225	255
